Date,Assigned,Company / Account,Contact,Specialty,Activity Type,Internal Provider,Status,Provider NPI,Full Address,Full Comments,Latitude,Longitude,Corrected Address,AffiliationCorrection,Correctiondate,Affiliation,IPA,GeoAccuracy,,NYG,,
9/8/25,Bryan Runz,"Shinin, John A, Office",John Arturo Shinin,,Office Visit (Non-Provider),,Closed Completed,1841357506,"119 N Ocean Ave Ste 1, Patchogue, New York 11772",Dr. John Shinin - no doctor but gave location list and promoted imaging,40.767825,-73.0147955,"119 North Ocean Avenue, Village of Patchogue, NY 11772, United States of America",,,"Shinin, John A, Office",,1,,0,,
9/8/25,Bryan Runz,Orthopedic Associates Of Long Island Llp - East Setauket,Morgan Naichi Chen,,Office Visit (Non-Provider),,Closed Completed,1023277241,"6 Technology Dr Ste 100, East Setauket, New York 11733","Dr Morgan Chen - met with Joanna MA (works with spine team) , Christine OM of patchogue office and PA Heather Vulpis",40.896738,-73.086387,"6 Technology Drive, Setauket-East Setauket, NY 11733, United States of America",,,Orthopedic Associates Of Long Island Llp - East Setauket,,1,,0,,Date|Assigned|Company / Account|Contact|Specialty|Activity Type|Internal Provider|Status|Provider NPI|Full Address|Full Comments|Latitude|Longitude|Corrected Address|AffiliationCorrection|Correctiondate|Affiliation|IPA|GeoAccuracy||NYG
9/8/25,Bryan Runz,NYU Langone * - E Patchogue - Hospital Rd Ste 201,David Ira Kaufman,,Office Visit (Non-Provider),,Closed Completed,1184602708,"4230 Hempstead Tpke Ste 101, Bethpage, New York 11714",Dr Melissa Fana - NYU Breast Surgery group - Mandi said office doesn?t have portal access . Went in and spoke with Hannah. Not a lot of staff in today. Told me Melissa and Mandi would have to make the decision on how to get everyone access on their own or all under one account. Left a HIPAA form and explain the process of how to get set up on the portal for everyone.,40.7250036,-73.4798846,"4230 Hempstead Turnpike, Bethpage, NY 11714, United States of America",,,NYU Langone * - E Patchogue - Hospital Rd Ste 201,,1,,0,,
9/8/25,Bryan Runz,Stonybrook University Hospital - Stony Brook - 101 Nicolls Rd,David Russell Swanson,,Office Visit (Non-Provider),,Closed Completed,1518490788,"101 Nicolls Rd, Stony Brook, New York 11794",Dr. David Swanson - reminded of imaging and gave location list and my contact,40.910743,-73.1158636,"101 Nicolls Road, Stony Brook, NY 11794, United States of America",,,Stonybrook University Hospital - Stony Brook - 101 Nicolls Rd,,1,,0,,
9/8/25,Bryan Runz,NYU Langone * - E Patchogue - Hospital Rd Ste 201,Melissa D Fana,,Office Visit (Non-Provider),,Closed Completed,1104073832,"100 Hospital Rd Ste 201, E Patchogue, New York 11772",Dr Melissa Fana - NYU Breast Surgery group - Mandi said office doesn?t have portal access . Went in and spoke with Hannah. Not a lot of staff in today. Told me Melissa and Mandi would have to make the decision on how to get everyone access on their own or all under one account. Left a HIPAA form and explain the process of how to get set up on the portal for everyone.,40.77968855,-72.97891847,"100 Hospital Road, East Patchogue, NY 11772, United States of America",,,NYU Langone * - E Patchogue - Hospital Rd Ste 201,,1,,0,,
9/8/25,Bryan Runz,Cherese M Laporta Do Pllc,Cherese M Laporta,,Office Visit (Non-Provider),,Closed Completed,1437206943,"107 N Ocean Ave Ste G, Patchogue, New York 11772",Dr. Cheresa LaPorta - don?t come on a Monday. Wednesday and Thursday best day to come by. Gave imaging pad and reminded of imaging,40.7677256,-73.0146379,"107 North Ocean Avenue, Village of Patchogue, NY 11772, United States of America",,,Cherese M Laporta Do Pllc,,1,,0,,
9/8/25,Bryan Runz,Urological Associates Long Island,Carl Mills,,Office Visit (Non-Provider),,Closed Completed,1033110747,"635 Belle Terre Rd, Prt Jefferson, New York 11777",Dr Carl Mills - promoted imaging and reminded of all our services,40.941895,-73.056289,"635 Belle Terre Road, Port Jefferson, NY 11777, United States of America",,,Urological Associates Long Island,,1,,0,,
9/8/25,Bryan Runz,"Markovits, Clara, Office",Clara Markovits,,Office Visit (Non-Provider),,Closed Completed,1699879767,"250 Patchogue Yaphank Rd Ste 7, E Patchogue, New York 11772","Dr Clara Markovits - met with Gina at the Front Desk discussed New York, CBS and New York Imaging. They have a lot of mutual patients with New York CBS, but interested in referring for Imaging and will start using our services",40.77413495,-72.9772969,"250 Patchogue-Yaphank Road, East Patchogue, NY 11772, United States of America",,,"Markovits, Clara, Office",,1,,0,,
9/8/25,Bryan Runz,"Lauto, Michael, Office",Michael Anthony Lauto,,Office Visit (Provider),,Closed Completed,1447339270,"107 N Ocean Ave Ste A, Patchogue, New York 11772",Met with doctor and front desk and promoted imaging,40.7677256,-73.0146379,"107 North Ocean Avenue, Village of Patchogue, NY 11772, United States of America",,,"Lauto, Michael, Office",,1,,0,,
9/8/25,Bryan Runz,"Patel, Mitul, Office",Mitul R Patel,,Office Visit (Non-Provider),,Closed Completed,1285615120,"250 Patchogue Yaphank Rd Ste 7, E Patchogue, New York 11772",Dr Mitul Patel - primary care left location list and my contact info,40.77413495,-72.9772969,"250 Patchogue-Yaphank Road, East Patchogue, NY 11772, United States of America",,,"Patel, Mitul, Office",,1,,0,,
